id,first_name,last_name,email,phone,address,city,state,zip_code,status
1,John,Doe,john.doe@example.com,555-123-4567,123 Main St,San Francisco,CA,94105,active
2,Jane,Smith,jane.smith@example.com,555-987-6543,456 Oak Ave,Los Angeles,CA,90001,active
3,Michael,Johnson,michael.j@example.com,555-456-7890,789 Pine Rd,Seattle,WA,98101,inactive
4,Sarah,Williams,sarah.w@example.com,555-234-5678,321 Elm Blvd,Chicago,IL,60601,pending
5,Robert,Brown,robert.b@example.com,555-876-5432,654 Maple Dr,New York,NY,10001,active
6,Emily,Jones,emily.j@example.com,555-345-6789,987 Cedar Ln,Boston,MA,02108,inactive
7,David,Miller,david.m@example.com,555-765-4321,246 Birch St,Austin,TX,78701,active
8,Lisa,Davis,lisa.d@example.com,555-567-8901,135 Walnut Ave,Denver,CO,80202,pending
9,Thomas,Wilson,thomas.w@example.com,555-654-3210,864 Spruce Ct,Portland,OR,97201,active
10,Jennifer,Taylor,jennifer.t@example.com,555-432-1098,753 Ash Dr,Miami,FL,33101,active
